TŸrkiye,523.652,531.796,464.321,438.014,445.733,463.103,489.893,527.548,541.594,541.574,538.857,544.616,549.376,543.182,528.04,511.046,500.738,499.227
United Kingdom,722.556,630.363,498.172,371.007,350.995,334.622,321.314,303.083,289.424,274.389,259.569,243.759,226.209,218.808,213.988,212.957,216.576,214.122
United States,377.84,359.476,319.447,262.862,248.274,231.182,217.041,201.432,188.705,181.527,173.96,167.357,160.885,155.408,146.827,140.084,142.616,145.26
Afghanistan,224.168,191.213,170.446,145.51,144.365,147.47,153.133,160.102,168.657,179.324,194.944,211.61,221.849,223.026,219.574,216.683,219.036,228.234
Albania,285.349,266.002,318.648,380.854,375.502,376.449,400.806,413.414,428.051,444.954,454.462,465,481.224,498.178,506.655,515.221,523.653,532.035
Algeria,425.854,464.555,497.668,479.843,475.547,470.73,465.809,463.235,462.1,465.543,471.393,478.552,488.045,494.707,490.895,489.656,495.663,502.327
American Samoa,93.551,102.384,93.396,100.246,101.608,102.581,104.464,106.451,107.686,110.275,113.444,117.218,120.91,124.749,131.496,137.434,139.647,140.15
Andorra,169.896,162.902,191.118,158.453,155.104,152.435,151.434,152.031,153.165,146.923,146.331,149.053,150.644,150.952,140.705,132.542,134.578,136.917
Angola,104.099,108.651,124.266,123.325,123.892,124.598,126.648,128.427,131.872,135.499,141.666,147.19,150.738,155.527,157.501,160.841,166.775,174.547
Antigua and Barbuda,372.218,387.7,318.276,273.867,274.056,299.954,298.103,278.751,279.47,282.793,285.57,291.476,301.999,305.836,300.004,294.946,299.126,309.069
Argentina,349.936,335.847,302.975,271.463,269.81,277.74,272.196,274.659,280.492,284.377,287.566,292.842,294.994,300.539,300.487,289.129,282.033,281.206
Armenia,609.027,770.517,820.372,1010.785,1057.04,1071.213,1111.837,1125.82,1139.815,1139.519,1126.33,1096.949,1095.78,1115.201,1085.657,1067.043,1055.276,1045.64
Azerbaijan,517.276,632.818,585.073,652.746,674.432,696.015,729.436,757.209,775.925,790.104,800.934,806.205,812.58,807.873,801.539,796.411,777.307,783.148
Bahamas,233.971,239.189,245.691,220.094,219.956,210.938,212.369,217.46,216.617,219.83,223.045,227.303,234.146,243.86,242.695,240.392,246.707,254.771
Bahrain,584.532,552.731,488.519,454.056,421.939,393.834,372.276,354.666,341.858,341.65,341.006,340.136,343.672,356.396,358.152,364.223,369.722,381.299
Bangladesh,200.109,202.381,222.997,238.852,248.862,257.832,264.497,275.168,289.306,292.59,304.63,331.265,363.404,375.193,383.387,405.744,424.713,453.833
Barbados,578.13,587.097,532.444,478.394,476.333,477.113,471.679,459.173,461.464,474.333,484.896,508.43,533.2,549.971,550.066,550.707,571.086,609.426
Belarus,1037.126,1247.709,1240.137,1354.327,1321.292,1278.076,1297.306,1326.518,1345.676,1353.001,1186.2,1132.339,1073.159,1006.043,938.909,900.158,885.553,889.441
Belize,147.423,184.19,233.314,190.821,189.149,182.74,173.936,174.145,176.077,178.73,184.239,196.773,210.399,218.938,217.817,218.669,229.054,238.568
Benin,150.516,140.339,161.981,144.639,143.544,143.407,146.806,151.767,157.084,164.226,176.49,187.762,194.83,199.378,194.842,190.233,188.207,195.056
Bermuda,254.365,222.983,162.606,129.377,124.94,118.24,111.93,106.995,105.042,106.621,106.763,108.015,109.375,110.926,116.958,123.963,125.423,124.041
Bhutan,110.916,117.421,151.056,198.225,208.606,226.548,241.782,257.622,272.882,290.091,309.387,328.247,342.167,348.087,340.837,333.861,339.433,353.53
Bolivia,432.729,391.802,290.206,272.653,277.093,288.002,300.419,311.043,316.598,318.791,319.159,319.659,318.848,318.903,322.387,327.471,332.429,337.477
Bosnia and Herzegovina,448.563,603.091,775.491,944.592,941.344,997.85,955.461,969.112,975.531,1004.534,1011.277,1037.793,1065.579,1115.74,1080.985,1062.029,1080.249,1094.15
Botswana,180.093,253.279,337.761,362.852,367.501,367.118,378.051,386.592,395.369,403.286,406.917,411.426,415.117,416.709,406.1,400.925,403.024,408.65
Brazil,200.832,207.402,210.809,215.336,218.433,220.814,223.539,226.483,227.368,224.551,214.526,205.95,197.596,195.662,201.019,199.88,202.361,206.572
Brunei Darussalam,100.498,66.086,55.117,58.416,57.664,55.194,52.567,51.808,52.025,55.257,62.717,72.908,81.503,86.058,81.735,78.109,81.723,89.332
Bulgaria,1352.45,1675.449,1700.395,1550.432,1545.055,1503.533,1463.663,1435.699,1420.204,1391.52,1339.14,1288.867,1304.307,1281.85,1272.353,1267.014,1289.513,1296.192
Burkina Faso,124.139,116.302,134.102,138.716,138.239,136.47,136.72,137.267,140.759,145.424,154.29,163.707,170.063,174.511,169.489,164.088,164.355,166.317
Burundi,121.852,112.385,99.195,85.924,83.682,82.485,81.788,81.738,83.431,84.564,87.814,90.829,91.783,90.252,85.068,81.755,83.189,84.593
Cambodia,171.069,154.862,150.962,169.331,172.838,178.528,184.213,188.83,192.307,193.012,193.749,193.863,194.492,194.625,194.201,194.386,200.679,212.328
Cameroon,224.108,246.068,298.494,310.641,313.302,314.234,321.318,331.449,342.266,354.654,373.112,393.651,405.205,402.52,391.491,378.304,381.533,395.813
Cabo Verde,184.349,212.3,286.153,299.887,281.949,273.873,271.326,270.425,271.376,293.681,335.509,380.487,425.961,458.437,485.678,496.317,585.441,579.372
Central African Republic,157.752,160.78,167.365,155.018,157.625,160.657,164.504,170.152,176.24,182.568,188.642,196.891,201.787,203.352,195.585,188.848,189.227,195.525
Chad,131.522,127.73,143.665,137.029,137.166,138.192,138.74,139.88,141.255,144.795,151.587,159.801,164.575,166.588,163.495,161.002,161.329,163.741
China (People's Republic of),442.026,509.268,629.556,745.928,741.342,756.488,789.261,828.487,866.22,892.585,909.475,929.437,945.529,953.961,956.246,950.31,962.986,993.582
Comoros,95.05,105.876,104.035,103.177,101.033,104.645,105.427,102.444,100.493,103.022,105.083,106.725,112.671,111.713,108.562,106.128,105.668,109.659
Congo,223.28,251.054,262.103,246.344,247.69,253.428,261.252,267.996,273.419,283.305,298.942,313.364,324.903,326.647,321.131,317.685,323.157,334.787
